Complaint#,Code,Invoice,Seq,Order#,Customer,DT Complaint,Amt Claim,Return,Prod Group,Desc,Qty Claim,Close,Dt Approved,Amt Approved,Plant,CSC,Closing Text,SalesRep,ProdType,CCAR CostCenter,ShipTo,Invoice Amt,Sort Code,TX Code,Confirm To
AM00304,P1,VB21863,A1,BV1B019,FORT DEARBORN COMPANY,03/25/2020,581.7,N,BP,"Baggy Edge
Pallet#  0004204898",700,*,04/07/2020,581.7,AMJK,KS,AM2020-03002 ,CFDP,VS,, FORTDWI01 WALLEWI01,917.42,F255,RS,FORTDWI01
AM00304,P1,VB30238,A1,BV1A080,FORT DEARBORN COMPANY,03/25/2020,1141.7,N,BP,"Baggy edge causing creases
Pallet # 0004195207",980,*,04/07/2020,1141.7,AMJK,KS,AM2020-03002 ,CFDP,VS,, FORTDWI01 WALLEWI01,7325.52,F255,RS,FORTDWI01
AM00305,P1,VB21459,A1,BV1A648,PRINT PACK,03/25/2020,4447.98,N,BP,"poor profile causing wood grain appearance rolls S000093846/94085
pictures attached. rolls being returned on 13-5122/5123 SQC's",3442,*,04/07/2020,4447.98,AMSC,SN,#13-5124 wood grain appearance,CFMS,BRT,, PRINTEL02,12637.09,P043,RS,PRINTEL02
AM00306,M4,VW30727,A1,WV2A890,FLEJES Y ACCESORIOS DE QUERETARO,03/25/2020,3121.2,N,SW,DISCOUNT FOR MEXICO ORDERS,0,*,03/31/2020,3121.2,AMJK,SV,CREDIT ,SWPE,ELB,, WASHILA02,34226.4,F340,RE,FLEJEQU01
AM00307,M4,VW30087,A1,WV2A589,LARSEN PACKAGING,03/27/2020,107.1,N,SW,OVER-SHIPPED 5 PLT - $107.10 DISCOUNT TO KEEP MATERIAL,0,*,04/14/2020,107.1,AMJK,CSM,CREDIT,SWMZ,PSB,, HOMEWLB02,9017.82,L095,RS,LARSESC01
AM00309,P1,UBA2021,A2,BU9A353,"GOLDEN DYNAMIC,INC",03/27/2020,896.07,N,BP,Roll# 9091800842 was rejected due to crease.,753,*,04/27/2020,896.07,AMSC,LA,#3064 creases scrap,HQLA,SP,, MULTIPC05,46070.85,D230,RS,GOLDEGA02
AM00310,T1,VW30957,A1,WV3A399,WEST TEXAS WHSE EQUIPMENT & SUPPLY,03/27/2020,1387.2,Y,SW,DAMAGED IN TRANSIT - 96 CS DEADHEAD RTN,1156,*,04/07/2020,1387.2,AMJK,CSM,"SAIA, RTN 96 CS SCRAPPED",SWPBS,PSB,, WESTTLA05,1387.2,W134,RS,WESTTLA05
AM00312,M0,VW30872,A1,WV3A500,PREMIERE PACKAGING INDUSTRIES,03/27/2020,3686.4,N,SW,"MISSING - 140 RL | 
FILMS FOUND AT SYSCO - 3 PLTS WERE USED, 4 PLTS TO RTN",8064,*,05/20/2020,2764.8,AMJK,JJK,CREDIT FOR 60 ROLLS USED BY OTHER CUSTOMER,SWDP,EPB,, RSILILI01,12971.52,P815,RS,PREMIBP01
AM00313,P1,VB31178,A1,BV1B127,PRINTPACK,03/27/2020,201.38,N,BP,amjk- wrinkles,203,*,04/20/2020,201.38,AMJK,SN,20-3953  wrinkles scrap,CFMS,BA,, PRINTPV01,3552.35,P043,RS,PRINTPV02
AM00314,P1,UB91743,A1,BU8A690,TRANSCENDIA,03/27/2020,3124.8,N,BP,"BA30 not sealing .
Sample sent: FedEx Express Saver TRCK: 1259 4627 9734 ",3150,D,04/13/2020,0,AMJK,PV,claim canceled,CFJM,BA,, TRANSFP02,15935.12,T025,RS,TRANSFP02
AM00315,M1,VB30374,A1,BV1B094,"SHURTAPE TECHNOLOGIES, LLC",03/30/2020,15301.15,Y,BP,"This material was sent treated ""in"" and it is supposed to be treated ""out""",11351,*,05/01/2020,15301.14,AMJK,KS,20LC03300952  wrong treatment returned,CFTG,KT,, SHURTHU03,15301.15,S321,RS,SHURTHI07
AM00316,DE,VW31106,A1,WV3A721,"HUGO'S INDUSTRIAL SUPPLY,INC",03/30/2020,175,N,SW,LAYOVER FEE - $175 DEBIT TO HUGO,0,*,04/02/2020,175,AMJK,CSM,DEBIT FOR LAYOVER FEE,SWPB,PSB,, AMAZODA01,20815.2,H263,RS,HUGOSIN07
AM00317,T1,VW31038,A1,WV2A838,MID VALLEY PACKAGING & SUPPLY CO.,03/30/2020,26242.56,Y,SW,"DAMAGED IN TRANSIT - 51 PLT, REJECTED T/L",27613.44,*,04/21/2020,26242.56,AMAZ,CSM,"QUATERBACK, RTN 15-S, 4881-G",SWMD,HLB,, MIDVAFO01,26242.56,M676,RS,MIDVAFO03
AM00318,T1,VW31006,A1,WV3A536,ASSOCIATED PACKAGING,03/30/2020,1072.4,Y,SW,DAMAGED IN TRANSIT - 1 PLT REFUSED,1191.45,*,04/16/2020,1072.4,AMJK,EV,"XPO, RTN 4-S, 36-G",SWCG,AM1,, ASSOCGA02,6271.44,A384,RS,ASSOCGA01
AM00319,M7,VW21160,A1,WV2A853,SUNRISE MANUFACTURING,03/31/2020,15233.13,Y,SW,SPLITTING - 297 RL ,16559.23,*,06/12/2020,15233.13,AMAZ,EV,"RTN 260-G, 37-S | CREDIT 2 SAMPLE RL, AND FREIGHT $203.88",SWMD,ELB,, SUNRIRC01,35683.2,S642,RS,SUNRIRC01
AM00319,M7,VW21160,A2,WV2A853,SUNRISE MANUFACTURING,06/10/2020,306.44,N,SW,"SPLITTING - 2 SAMPLE RLS, AND SAMPLE FREIGHT $203.88 ",76,*,06/12/2020,306.44,AMAZ,EV,"RTN 260-G, 37-S | CREDIT 2 SAMPLE RL, AND FREIGHT $203.88",SWMD,ELB,, SUNRIRC01,35683.2,S642,RS,SUNRIRC01
AM00320,DE,VW30578,A1,WV3A308,WAL-MART DISTRIBUTION CENTER #7016,03/31/2020,150,N,SW,DEBIT LAYOVER FEE $150 TO HUGO,0,*,04/02/2020,150,AMJK,SV,DEBIT FOR LAYOVER FEE,SWSP,PSB,, WALMAGO01,4422.6,W060,RS,WALMAGO01
AM00321,M7,VW20325,A1,WV2A140,TRM MANUFACTURING,03/31/2020,1175.76,N,SW,TEARING - 30% DISCOUNT,1070,*,04/02/2020,1175.76,AMAZ,JZU,CREDIT ,8SW,PSB,, TRMMACO03,7642.08,T053,RS,TRMMACO01
AM00322,M6,VW30755,A1,WV3A244,NICHOLS PAPER-MEIJER,03/31/2020,126.3,N,SW,LATE SPR - $1.16/LB,0,*,04/02/2020,126.3,AMJK,CSM,CREDIT ,SWMZ,PSB,, NICHOBG01,2570.4,N297,RS,NICHOBH01
AM00324,M0,UWB1086,A1,WUBA730,LEGACY PAPER AND PACKAGING,04/07/2020,5443.2,Y,SW,CUSTOMER RETURN - CHARGE 10% RESTOCKING FEE $604..80,5814.96,*,04/16/2020,5443.2,AMJK,CSM,"RTN 864-G, CHARGE 10% RESTOCKING FEE, AND RETURN FREIGHT $459.55",SWPBS,PSB,, LEGACHO01,12096,L291,RS,LEGACHO01
AM00324,M0,UWC0643,A1,WUCA374,LEGACY PAPER AND PACKAGING,04/01/2020,5698.41,Y,SW,"CUSTOMER RETURN - CHARGE 10% RESTOCKING FEE $660.82, AND RETURN FREIGHT $459.55",6299.54,*,04/16/2020,5698.41,AMJK,CSM,"RTN 864-G, CHARGE 10% RESTOCKING FEE, AND RETURN FREIGHT $459.55",SWPBS,PSB,, LEGACHO01,12199.68,L291,RS,LEGACHO01
AM00324,M0,UWC0644,A1,WUCA422,LEGACY PAPER AND PACKAGING,04/01/2020,1829.95,Y,SW,CUSTOMER RETURN - CHARGE 10% RESTOCKING FEE $203.33,1938.32,*,04/16/2020,1829.95,AMJK,CSM,"RTN 864-G, CHARGE 10% RESTOCKING FEE, AND RETURN FREIGHT $459.55",SWPBS,PSB,, LEGACHO01,3049.92,L291,RS,LEGACHO01
AM00325,P1,UBA0494,A1,BU7A743,IMAGENES Y SOLUCIONES S.A. DE C.V.,04/01/2020,3326.61,N,BP,"Customer is claiming monetary loss of printed film due to curling of our PP38.
Please direct to Juan Rosales and Todd O'reilly. (BUSINESS DECISION)
",0,*,04/09/2020,3326.61,AMJK,PV,CASE-ONE curling,AMCP,PP,, IDMCOLA02,27390.7,I155,ES,IMAGEZA01
AM00326,P1,VB10962,A1,BU7A743,IMAGENES Y SOLUCIONES S.A. DE C.V.,04/01/2020,3049.81,N,BP,"Customer is claiming monetary loss of printed film due to curling of our PP38.
Please direct to Juan Rosales and Todd O'reilly. (BUSINESS DECISION)
",0,*,04/09/2020,3049.82,AMJK,PV,CASE-2 curling,AMCP,PP,, IDMCOLA02,12078.48,I155,ES,IMAGEZA01
AM00327,T1,VB30831,A1,BV2A235,C-P FLEXIBLE PACKAGING,04/02/2020,2634.08,Y,BP,"4 pallets damaged in transit.
Claim already filed with PDI on BXA2087. Was originally consignment so no credit due, but then pallets got billed to customer on 3/16 by mistake",2953,*,04/07/2020,2589.78,AMJK,AM,damaged in transit,CFLD,VA,, CPFLEYO02,2589.79,C047,RS,CPFLEYO01
AM00328,P1,UBB0398,A2,BUAA977,PRINT PACK,04/02/2020,1096.45,N,BP,amsc- wrinkles- down time $425,650,*,04/08/2020,1096.45,AMSC,SN,#13-5125 wrinkles,CFMS,BRT,, PRINTEL02,7282.65,P043,RS,PRINTEL02
AM00329,P1,VB30114,A1,BUCA367,CADILLAC PRODUCTS PACKAGING COMPANY,04/03/2020,1968.5,N,BP,"AMJK  lines on edge roll #0021300157
samples and photos requested on 4/3",1270,*,05/01/2020,1968.5,AMJK,SN,LINES ON EDGE OF ROLL - SCRAP,CFCS,TT,, CADILDA10,16017.7,CB65,RS,CADILDA10
AM00330,P1,VB10138,A1,BUBA321,3M MANAUS IND PROD QUIM LTDA,04/03/2020,496.83,N,BP,"The web has broken in the splice. Causing the machine to stop, material losses and low productivity",396.83,*,04/20/2020,496.83,AMJK,KS,DNAM-BMJQDZ splice break,CFDP,KT,, 3MMANMA01,24043.41,M208,ES,3MMANMA01
AM00331,T1,VB31229,A1,BV3A093,INTERTAPE POLYMER CORP,04/03/2020,2322.37,Y,BP,Roll #0031301396 & 0031301397 were damaged during transit. Customer is rejecting two damaged pallets for credit.,2815,*,05/01/2020,2322.37,AMJK,LA,returned 2 rolls 0031301396/397,HQLA,TT,, IPGCOHE01,5805.53,I121,RS,INTERCA07
AM00332,M1,VW30983,A1,WV3A594,TEAM EAGLE PACKAGING SYSTEMS,04/13/2020,5126.4,Y,SW,KEY-IN ERROR - OVER SHIPPED 4 PLTS ,5760,*,04/16/2020,5126.4,AMJK,CSM,RTN 160 RL BACK TO FG,SWMZ,EPB,, TEAMEYO01,6408,T619,RS,TEAMEYO01
AM00333,P1,VB10595,A1,BUCA242,SIGNATURE FLEXIBLE PKG,04/06/2020,1250,N,BP,"baggu edges - video attached
Additional claim with BA25 may be coming",0,*,04/20/2020,1250,AMJK,SN,Baggy edges ,CFDH,BA,, SIGNACA01,24388.88,S014,RS,SIGNACO02
AM00334,M5,VW20666,A1,WV1A956,"NAMAR INDUSTRIAL PACKAGING, LLC",04/06/2020,27.52,N,SW,SAMPLE - 1 RL,32,*,04/07/2020,27.52,AMAZ,SV,CREDIT SAMPLE ,SWCK,EPB,, NAMARMU01,13733.76,N136,RS,NAMARMU01
