BL_Number,Truck_Appointment_Date,Site,Product_Group,Product_Code,Unit_Freight,Carrier_ID,pallet_count,pick_weight
W61A713,2026-01-28,AMJK,SW,HCB0801201500C490-36,7.61,AAL-AM,1,829
W61A713,2026-01-28,AMJK,SW,HLP115450450C490-64,7.61,AAL-AM,1,1204
W61A713,2026-01-28,AMJK,SW,PSB0381701476C490-48,7.61,AAL-AM,1,732
W61A716,2026-02-10,AMJK,SW,EUH0902955000AM-20,3.62,GILTNER-AM,26,27612
W61A717,2026-02-10,AMJK,SW,EUH0902955000AM-20,3.62,GILTNER-AM,26,27612
W61A723,2026-01-21,AMJK,SW,PSB0331501476M530-36,29.44,CWF-IP,2,842
W61A724,2026-02-19,AMJK,SW,EMB0601977500AM-40,4.53,GILTNER-AM,22,31196
W61A724,2026-02-19,AMJK,SW,HCB1201801000C490-24,4.53,GILTNER-AM,4,3316
W61A725,2026-02-18,AMJK,SW,EMB0601977500AM-40,7.86,AAL-AM,22,31196
W61A728,2026-01-23,AMJK,SW,EHB0702956000AM-20,9.2,CWF-IP,6,5946
W61A731,2026-03-06,AMJK,SW,ELB0511979000AM-40,14.05,TRAFFIX-AM,1,1447
W61A731,2026-03-06,AMJK,SW,EOB2034831524AM-40,14.05,TRAFFIX-AM,10,12160
W61A731,2026-03-06,AMJK,SW,HCB0511451476N246-64,14.05,TRAFFIX-AM,5,5590
W61A731,2026-03-06,AMJK,SW,HCB0801801500N246-48,14.05,TRAFFIX-AM,5,8295
W61A731,2026-03-06,AMJK,SW,PSB0301701476N246-48,14.05,TRAFFIX-AM,10,5780
W61A749,2026-02-02,AMJK,SW,CHV1102007000AM-24,5.39,GILTNER-AM,10,14780
W61A749,2026-02-02,AMJK,SW,CHV1103007000AM-12,5.39,GILTNER-AM,4,4436
W61A749,2026-02-02,AMJK,SW,CHV1152007000AM-24,5.39,GILTNER-AM,10,15460
W61A749,2026-02-02,AMJK,SW,ELB0611975000AM-50,5.39,GILTNER-AM,1,1202
W61A749,2026-02-02,AMJK,SW,ETL0802005000AM-40,5.39,GILTNER-AM,2,2560
W61A750,2026-01-30,AMJK,SW,CHV07520010000AM-24,4.7,PDI-AM,14,20160
W61A750,2026-01-30,AMJK,SW,CHV08020010000AM-24,4.7,PDI-AM,14,21504
W61A752,2026-01-29,AMJK,SW,CHV0852009000AM-24,4.9,GILTNER-AM,14,20566
W61A752,2026-01-29,AMJK,SW,CHV0902009000AM-24,4.9,GILTNER-AM,14,21770
W61A760,2026-02-28,AMJK,SW,EHT0611975000AM-50,23.37,PDI-AM,5,6010
W61A760,2026-02-28,AMJK,SW,EHT0612956000AM-20,23.37,PDI-AM,5,4320
W61A761,2026-02-11,AMJK,SW,EHB0551978000W120-40,18.01,CHARGER-AM,5,6935
W61A761,2026-02-11,AMJK,SW,ELB0451977000W120-50,18.01,CHARGER-AM,4,4964
W61A761,2026-02-11,AMJK,SW,HCB0651801500W120-36,18.01,CHARGER-AM,3,3033
W61A761,2026-02-11,AMJK,SW,HCB0751301500W120-48,18.01,CHARGER-AM,3,3369
W61A761,2026-02-11,AMJK,SW,HCB1101801000W120-48,18.01,CHARGER-AM,7,10647
W61A761,2026-02-11,AMJK,SW,HLP120400450W120-64,18.01,CHARGER-AM,5,5575
W61A762,2026-02-10,AMJK,SW,AM1-19751,10.3,GILTNER-AM,1,1125
W61A762,2026-02-10,AMJK,SW,EHB0631975000AM-50,10.3,GILTNER-AM,8,9928
W61A762,2026-02-10,AMJK,SW,ELB0401979000AM-40,10.3,GILTNER-AM,1,1135
W61A762,2026-02-10,AMJK,SW,EPB0802006000AE98-40BX,10.3,GILTNER-AM,10,15360
W61A762,2026-02-10,AMJK,SW,HCB0801801500AM-48,10.3,GILTNER-AM,2,3318
W61A762,2026-02-10,AMJK,SW,HSB0631601500AM-64,10.3,GILTNER-AM,1,1548
W61A765,2026-01-27,AMJK,SW,HLP115280450AM-80,18.98,SAIA-IP,1,935
W61A767,2026-02-05,AMJK,SW,CHV07530010000AM-12,6.09,AAL-AM,1,1080
W61A767,2026-02-05,AMJK,SW,EPB0801975000W051-40,6.09,AAL-AM,13,16393
W61A767,2026-02-05,AMJK,SW,EPB0805005000W051-16,6.09,AAL-AM,10,12800
W61A767,2026-02-05,AMJK,SW,EPB0806005000W051-16,6.09,AAL-AM,1,1536
W61A767,2026-02-05,AMJK,SW,HSK0631801500W051-64,6.09,AAL-AM,4,6968
W61A768,2026-01-28,AMJK,SW,CLV04720012000AM-32,6.17,CAL-AM,3,4332
W61A768,2026-01-28,AMJK,SW,CLV04730012000AM-16,6.17,CAL-AM,20,21660
W61A768,2026-01-28,AMJK,SW,HCB0801501500W051-24,6.17,CAL-AM,3,2073
W61A768,2026-01-28,AMJK,SW,HCB0801801500W051-24,6.17,CAL-AM,10,8290
W61A770,2026-02-05,AMJK,SW,EPB0801975000AM-40,6.5,GILTNER-AM,10,12610
W61A770,2026-02-05,AMJK,SW,PSB0381501476AM-144P,6.5,GILTNER-AM,20,9700
W61A779,2026-02-10,AMJK,SW,ELB0511979000AM-40,2.37,GILTNER-AM,2,2894
W61A779,2026-02-10,AMJK,SW,ELB0632957500AM-20,2.37,GILTNER-AM,3,3345
W61A779,2026-02-10,AMJK,SW,EPB0806005000AM-16,2.37,GILTNER-AM,2,3072
W61A779,2026-02-10,AMJK,SW,HCB0701801500AM-64,2.37,GILTNER-AM,2,3870
W61A779,2026-02-10,AMJK,SW,HCB0801801500AM-48,2.37,GILTNER-AM,2,3318
W61A779,2026-02-10,AMJK,SW,HLB0451601500AM-64,2.37,GILTNER-AM,10,11060
W61A779,2026-02-10,AMJK,SW,HLB0451801500AM-64,2.37,GILTNER-AM,5,6220
W61A786,2026-01-27,AMJK,SW,HCB0801201500AM-60,7.98,SAIA-IP,2,2764
W61A791,2026-01-28,AMJK,SW,ELB0471979000AM-40,15.47,SAIA-IP,3,3999
W61A792,2026-02-11,AMJK,SW,PSB0301701476AM-48,26.72,SAIA-IP,2,1156
W61A796,2026-01-30,AMJK,SW,EHB0801976000AM-40,14.66,GILTNER-AM,13,19669
W61A796,2026-01-30,AMJK,SW,EPB1151973500AM-40,14.66,GILTNER-AM,9,11421
W61A796,2026-01-30,AMJK,SW,HCB0801501500AM-48,14.66,GILTNER-AM,1,1382
W61A796,2026-01-30,AMJK,SW,PSB0301701968AM-84P,14.66,GILTNER-AM,4,1348
W61A799,2026-02-09,AMJK,SW,EHB0801976000AM-40,2.92,DRAKE-AM,3,4539
W61A799,2026-02-09,AMJK,SW,EHB0901975000AM-40,2.92,DRAKE-AM,15,21270
W61A799,2026-02-09,AMJK,SW,HCB0801801500AM-24,2.92,DRAKE-AM,3,2487
